,PC1,PC2,PC3
fud_count_mean,-0.15778789965082,0.23377612804720366,0.5832995571523262
vader_pos_mean,0.3690494025614406,0.2971499783386857,-0.018890395387589354
tweet_count,0.23921239631250849,0.4588243732487961,0.08267022999714235
finbert_pos_mean,0.3310948792253102,0.1065463327545026,-0.15737467720322004
roberta_score_mean,0.3820052615845782,-0.15294997195483753,0.19986076731632024
finbert_neg_mean,-0.2686040943676016,0.3933226226555882,0.09258266439274487
tb_polarity_mean,0.36194881920994776,0.16517741476552497,0.15659192977595449
vader_comp_mean,0.3986146434110085,0.08085470085508983,0.15509717932997882
finbert_score_mean,0.37817329238990866,-0.1537043271809566,-0.15960927289255603
vader_neg_mean,-0.14510642836749427,0.5991466931205174,-0.1333817827111494
fomo_count_mean,0.0033840663312887822,-0.2016419235524815,0.6981731591213645
