Fold,Model,MAE,RMSE,R2,Scenario
1,Naive,0.025917893803554092,0.033568976729929687,-0.043330136809370146,BASE
1,Ridge,0.05822103999558643,0.0706511146982873,-3.6215066560017775,BASE
1,RF,0.045089544443813,0.05860064491314127,-2.1794378300471933,BASE
2,Naive,0.0639808156178718,0.09711090459749071,-0.3864013525301524,BASE
2,Ridge,0.10774953917294545,0.1324048748209329,-1.5772759683209872,BASE
2,RF,0.10929440095754712,0.14319308787784568,-2.0143736385838595,BASE
3,Naive,0.03410161421223671,0.042900186042160345,-0.008407067879475871,BASE
3,Ridge,0.03516171662506544,0.04412444501257018,-0.06678289074863164,BASE
3,RF,0.042745303437133814,0.05338797162365638,-0.5617243140719381,BASE
4,Naive,0.03285317945621823,0.04553204259016695,-0.31728735818357756,BASE
4,Ridge,0.04196551602625623,0.05442822971119493,-0.8823252812487299,BASE
4,RF,0.059821686356180494,0.07632832424323736,-2.701840586127537,BASE
5,Naive,0.03297079924309775,0.03877134136836037,-0.43016454173306595,BASE
5,Ridge,0.03477810275854358,0.04068394970102988,-0.5747462060710642,BASE
5,RF,0.04800628248092179,0.05991727305131353,-2.4156112273616843,BASE
1,Naive,0.025917893803554092,0.033568976729929687,-0.043330136809370146,VADER
1,Ridge,0.0714725709129432,0.08647093412981685,-5.922864756574001,VADER
1,RF,0.0492830320216392,0.06223604019366536,-2.5861582601383226,VADER
2,Naive,0.0639808156178718,0.09711090459749071,-0.3864013525301524,VADER
2,Ridge,0.10012550996330023,0.12408388988185069,-1.2635170667048112,VADER
2,RF,0.1082164529677772,0.14096882678759004,-1.9214546210649606,VADER
3,Naive,0.03410161421223671,0.042900186042160345,-0.008407067879475871,VADER
3,Ridge,0.08158019988315848,0.09414647570527288,-3.8565253975434635,VADER
3,RF,0.06020795193653247,0.07440933725197839,-2.033698400705242,VADER
4,Naive,0.03285317945621823,0.04553204259016695,-0.31728735818357756,VADER
4,Ridge,0.05625516414303932,0.06816825538186946,-1.9526407945225936,VADER
4,RF,0.056621057321908703,0.07145664228367142,-2.244378145145878,VADER
5,Naive,0.03297079924309775,0.03877134136836037,-0.43016454173306595,VADER
5,Ridge,0.03332328633629982,0.03841107907778151,-0.40370992017311846,VADER
5,RF,0.035429494005797126,0.04080750325864446,-0.5843254596408549,VADER
1,Naive,0.025917893803554092,0.033568976729929687,-0.043330136809370146,FinBERT
1,Ridge,0.10140683241346961,0.11496749433291138,-11.237583795806765,FinBERT
1,RF,0.06295207128666175,0.07506099559666239,-4.216439649417572,FinBERT
2,Naive,0.0639808156178718,0.09711090459749071,-0.3864013525301524,FinBERT
2,Ridge,0.10786736341406915,0.13387301694320478,-1.6347479514344125,FinBERT
2,RF,0.1026537964048943,0.13628295331301507,-1.7304614342587081,FinBERT
3,Naive,0.03410161421223671,0.042900186042160345,-0.008407067879475871,FinBERT
3,Ridge,0.049347324107344034,0.05731715901483249,-0.8000594217567412,FinBERT
3,RF,0.04607383860693595,0.054755040620672504,-0.6427283068924163,FinBERT
4,Naive,0.03285317945621823,0.04553204259016695,-0.31728735818357756,FinBERT
4,Ridge,0.039468877021280435,0.05096807389416056,-0.6506032678924998,FinBERT
4,RF,0.05595955661674523,0.06984096011504859,-2.0993217161753766,FinBERT
5,Naive,0.03297079924309775,0.03877134136836037,-0.43016454173306595,FinBERT
5,Ridge,0.03189711313338937,0.03562951008151918,-0.20776949045222337,FinBERT
5,RF,0.03422337029604862,0.039879730699291994,-0.5131040271902967,FinBERT
1,Naive,0.025917893803554092,0.033568976729929687,-0.043330136809370146,PCA_VADER
1,Ridge,0.06258080211304559,0.07525934941650496,-4.244045674516614,PCA_VADER
1,RF,0.04824709395265022,0.06269229907592236,-2.638931996742589,PCA_VADER
2,Naive,0.0639808156178718,0.09711090459749071,-0.3864013525301524,PCA_VADER
2,Ridge,0.10632695292545886,0.1300880633087927,-1.4878710726621538,PCA_VADER
2,RF,0.10640928320452554,0.13983792297298644,-1.8747686726508697,PCA_VADER
